name,Prison_CFR,State_CFR
AL,4.162633107454018,1.8519571335171552
AK,0.2465078060805259,0.8814887365328109
AZ,0.7453994875378523,1.96256465096884
AR,,1.0792093493002453
CA,0.3752723751109676,1.9271692258828992
CO,0.24330900243309003,4.295704295704296
CT,0.41981528127623846,9.160844976713241
DE,,3.819292885202968
FL,1.109350237717908,1.407658571142729
GA,3.408146300914381,2.1840685155851483
HI,0.07716049382716049,1.6925246826516216
ID,0.20449897750511248,0.7963091701952854
IL,0.9580379383023567,4.5595157220496905
IN,1.5360983102918586,4.9140133987153805
IA,0.3000545553737043,2.0291533445784347
KS,0.215222070045001,1.3781673862793842
KY,0.8290155440414507,2.801330008312552
LA,1.1959876543209877,3.6217553813818166
ME,0.0,3.1694869728713404
MD,0.6442705936493327,4.276824438996794
MA,0.5944517833553501,7.410135662483668
MI,0.5471478463329453,7.683694723028209
MN,0.1822600243013366,3.3461870746149147
MS,,3.0511378613478604
MO,0.752950752950753,3.261919645394101
MT,0.3798670465337132,1.4754703061600885
NE,0.7633587786259542,1.3367830961621388
NV,0.0,1.8013216798124068
NH,,6.387735547748322
NJ,1.5325670498084292,8.878119781558878
NM,0.7838745800671892,3.356739167665696
NY,0.9188361408882083,7.967053831511022
NC,0.4621224624525499,1.6518756781894282
ND,0.1953125,1.80526214710966
OH,1.4444029386128752,4.168879103801075
OK,0.550314465408805,1.7511205652206945
OR,1.19442601194426,1.7768676927141818
PA,1.2391573729863692,6.561511260003723
RI,,5.537640386967641
SC,1.3647642679900744,1.6649167541622918
SD,0.17490161783996502,1.4715051752088788
TN,0.4609053497942387,1.0629210192326466
TX,0.6229716118924161,1.1960543593745994
UT,0.472193074501574,0.7168970638638181
VT,0.0,4.099560761346998
VA,0.6713984270093996,2.5802875105517127
WA,0.14499758337361043,3.0159547092125583
WV,0.4716981132075472,1.9528228924980664
WI,0.17030335284725917,1.9463011215588533
WY,,1.1170688114387846
